                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    139,                 0.8214,                0.49008,                  0.992,                 0.9296,                0.87667,                0.91912,                0.61886,                 1.0543,                0.50951,                0.99104,             0.00078295,             0.00078295,             0.00078295
                    140,                0.82545,                0.48777,                0.98705,                0.93841,                0.88971,                0.92357,                0.61333,                 1.0613,                0.52309,                0.99672,             0.00077823,             0.00077823,             0.00077823
                    141,                0.82952,                0.49115,                0.98877,                0.92256,                 0.8835,                 0.9246,                0.61886,                 1.0435,                0.51026,                0.98755,             0.00077352,             0.00077352,             0.00077352
                    142,                0.82172,                0.48208,                0.98609,                0.93145,                0.88301,                0.91972,                0.61846,                 1.0264,                0.50434,                0.98561,              0.0007688,              0.0007688,              0.0007688
                    143,                0.83303,                0.49957,                0.98656,                0.90704,                0.89538,                0.92189,                0.61601,                 1.0444,                0.51725,                0.99019,             0.00076409,             0.00076409,             0.00076409
                    144,                0.80518,                0.48852,                0.97956,                  0.926,                0.89748,                0.92704,                0.61774,                 1.0484,                0.50596,                0.99253,             0.00075937,             0.00075937,             0.00075937
                    145,                0.82465,                 0.4967,                 0.9923,                0.92428,                0.88908,                0.92434,                0.61566,                 1.0525,                 0.5081,                0.99193,             0.00075465,             0.00075465,             0.00075465
                    146,                0.81653,                0.49246,                0.98642,                0.94366,                0.87415,                0.92852,                0.62518,                 1.0486,                0.50583,                0.98737,             0.00074994,             0.00074994,             0.00074994
                    147,                0.82103,                0.48705,                0.97543,                0.90995,                0.88953,                0.91978,                 0.6167,                 1.0644,                0.51726,                 1.0008,             0.00074522,             0.00074522,             0.00074522
                    148,                0.82922,                0.48984,                0.98543,                0.91451,                0.88116,                0.91448,                0.60691,                 1.0608,                 0.5146,                0.99608,             0.00074051,             0.00074051,             0.00074051
                    149,                0.80919,                0.47286,                0.97549,                0.93349,                0.86761,                0.92176,                0.61639,                 1.0584,                0.51601,                0.99821,             0.00073579,             0.00073579,             0.00073579
                    150,                0.80686,                0.48433,                0.97229,                0.93314,                0.88111,                0.92401,                0.62076,                 1.0407,                0.51561,                0.98908,             0.00073108,             0.00073108,             0.00073108
                    151,                0.80646,                0.48297,                0.97915,                0.93156,                0.87978,                0.92201,                0.62429,                 1.0363,                0.50652,                0.98608,             0.00072636,             0.00072636,             0.00072636
                    152,                0.80898,                0.48409,                0.98384,                0.93239,                 0.8849,                0.92593,                0.62559,                 1.0354,                0.49392,                0.98272,             0.00072164,             0.00072164,             0.00072164
                    153,                0.80204,                 0.4833,                0.98158,                 0.9161,                  0.883,                0.92027,                0.61914,                 1.0497,                0.50585,                0.98958,             0.00071693,             0.00071693,             0.00071693
